complaint_id,timestamp,text_length,gemini_risk_score,openai_risk_score,risk_score_difference,category_match,gemini_category,openai_category,both_high_risk,both_low_risk,gemini_red_flags,openai_red_flags,gemini_scam_type,openai_scam_type,gemini_financial_risk,openai_financial_risk
1306236,2025-12-04T13:59:35.678027,1365,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Placement/Staffing Scams'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scheme'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim experienced a direct financial loss after attempting to process funds for the scammers, leading to a negative balance in their account after the initial deposit was reversed.'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'Victim was used to process fraudulent transactions, resulting in financial loss.'}"
1617882,2025-12-04T13:59:44.032852,2510,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check / Funds Transfer Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim was tricked into using their personal credit card for fraudulent purchases, and the funds initially transferred to cover these purchases were reversed, leaving the victim liable for the full amount of the equipment and any associated shipping costs.'}","{'level': 'High', 'potential_loss': 'Potentially thousands of dollars', 'explanation': 'Victim used personal credit card for purchases based on fake funds transfer'}"
2060433,2025-12-04T13:59:52.263873,986,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check / Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim is facing significant financial loss due to the fraudulent check, with their account overdrawn and potentially being held responsible for the bad check amount, in addition to the missing cash withdrawal.'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': ""The victim's account was overdrawn due to a fake check, leading to a significant financial liability.""}"
2105037,2025-12-04T14:00:00.643153,2080,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scheme'}","{'level': 'High', 'potential_loss': 'Unknown (amount wired into account)', 'explanation': ""The victim is likely liable for the full amount of the rejected wire transfer and potentially additional bank fees or penalties. The exact amount is not specified in the complaint but is significant enough to cause financial distress ('I am in the XXXX in three months').""}","{'level': 'Critical', 'potential_loss': 'Significant financial liability due to rejected wire transfer', 'explanation': 'The victim is liable for the amount of the rejected wire transfer and potentially other fees or penalties.'}"
2105053,2025-12-04T14:00:09.733316,3015,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check/Wire Transfer Scam'}","{'level': 'Critical', 'potential_loss': 'Owe almost $XXXX', 'explanation': 'The victim is facing significant financial liability for funds received through fraudulent wire transfers, potentially owing tens of thousands of dollars.'}","{'level': 'Critical', 'potential_loss': 'XXXX dollars', 'explanation': 'Victim is liable for fraudulent wire transfers and bank account is frozen.'}"
2317878,2025-12-04T14:00:19.260408,528,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam / Money Mule Activity'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'The amount of the fraudulent check plus overdraft fees and potential legal repercussions.', 'explanation': 'The victim deposited a fraudulent check, withdrew the funds, and is now liable to the bank for the full amount plus any incurred fees. This can lead to significant debt and damage to credit.'}","{'level': 'High', 'potential_loss': 'Varies based on check amount and overdraft fees', 'explanation': 'Victim deposited a fake check and withdrew funds, leading to potential overdraft fees and financial liability.'}"
2318180,2025-12-04T14:00:26.276312,1207,95,90,5,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fraudulent Transactions'}","{'level': 'Critical', 'potential_loss': 'The full amount deposited ({[AMOUNT]}) and potentially more if further fraudulent activities were involved.', 'explanation': 'The victim directly deposited funds into an account associated with fraudulent activities, risking the loss of the deposited amount and potential involvement in criminal proceedings.'}","{'level': 'High', 'potential_loss': 'Unknown (dependent on amount deposited)', 'explanation': 'Victim deposited money into an account as part of a scam involving fraudulent transactions.'}"
2693172,2025-12-04T14:00:37.077508,2971,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': ""Undetermined (victim's account frozen, potential for debt due to bounced check, blacklisted from financial institutions)"", 'explanation': ""The victim's bank account was frozen and closed due to a fraudulent check, leading to their inability to open new accounts and potentially facing debt or legal repercussions. The exact amount lost from the bounced check is not specified, but the impact on their financial standing is critical.""}","{'level': 'High', 'potential_loss': 'Creditworthiness and banking privileges', 'explanation': ""Victim's bank account was closed and reported for fraud due to depositing a fake check.""}"
2949134,2025-12-04T14:00:44.961089,2193,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scheme'}","{'level': 'Critical', 'potential_loss': 'Unknown but substantial deficit in checking account', 'explanation': ""The victim's bank account was frozen and subsequently had payments reversed, leaving a large deficit. This indicates potential loss of funds that were deposited and then withdrawn or reversed, possibly leading to overdraft fees and further financial repercussions.""}","{'level': 'Critical', 'potential_loss': 'Very high, potentially entire account balance', 'explanation': ""The victim's account was used to transfer unauthorized funds, leading to a frozen account and a large deficit.""}"
3082144,2025-12-04T14:00:56.449844,1637,100,95,5,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} (initial fraudulent deposit) + {[AMOUNT]} (overdraft/balance due to bank)', 'explanation': ""The victim was tricked into depositing a bad check, then used to transfer funds to the scammer via a cashier's check. The victim is now liable for the full amount of the bad check, plus potential overdraft fees, leading to significant financial loss.""}","{'level': 'Critical', 'potential_loss': 'Significant financial loss due to overdraft and debt collection', 'explanation': ""Victim was tricked into depositing a fake check and issuing a cashier's check, leading to an overdraft and potential debt collection.""}"
